Time	Carb1	Carb2	Carb3	Carb4	Carb5	Carb6	Carb7	Carb8	Carb9	Carb10	Carb11	Carb12	Carb13	Carb14	Carb15	Sil1	Sil2	Sil3	Sil4	Sil5	Sil6	Sil7	Sil8	Sil9	Sil10	Sil11	Sil12	Sil13	Sil14	Sil15	c131	c132	c133	c134	c135	c136	c137	c138	c139	c1310	c1311	c1312	c1313	c1314	c1315	
0	6.8679e+17	2.79524e+17	1.22321e+17	7.73932e+16	1.54786e+17	2.3218e+17	3.09573e+17	3.86966e+17	4.64359e+17	5.41753e+17	6.19146e+17	6.96539e+17	7.5909e+17	2.85587e+17	5.49164e+15	5.6223e+15	5.13779e+15	2.24831e+15	1.42252e+15	2.84505e+15	4.26757e+15	5.69009e+15	7.11261e+15	8.53514e+15	9.95766e+15	1.13802e+16	1.28027e+16	2.32723e+16	2.63861e+17	2.89924e+17	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	
251.388	6.86548e+17	2.79491e+17	1.22306e+17	7.73841e+16	1.54768e+17	2.32152e+17	3.09536e+17	3.8692e+17	4.64304e+17	5.41689e+17	6.19073e+17	6.96108e+17	7.58215e+17	3.34159e+17	8.19468e+15	5.62033e+15	5.13719e+15	2.24804e+15	1.42235e+15	2.84472e+15	4.26706e+15	5.68942e+15	7.11177e+15	8.53414e+15	9.95648e+15	1.13789e+16	1.27948e+16	2.32455e+16	3.08738e+17	4.32628e+17	4.68987	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	
502.057	6.86547e+17	2.79491e+17	1.22306e+17	7.73841e+16	1.54768e+17	2.32152e+17	3.09536e+17	3.8692e+17	4.64304e+17	5.41688e+17	6.19072e+17	6.96118e+17	7.58305e+17	3.34168e+17	8.1942e+15	5.6205e+15	5.13719e+15	2.24804e+15	1.42235e+15	2.84472e+15	4.26706e+15	5.68942e+15	7.11178e+15	8.53414e+15	9.95648e+15	1.13789e+16	1.2795e+16	2.32482e+16	3.08746e+17	4.32602e+17	4.68988	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	4.68986	
753.201	6.86545e+17	2.79491e+17	1.22306e+17	7.7384e+16	1.54768e+17	2.32152e+17	3.09536e+17	3.8692e+17	4.64304e+17	5.41688e+17	6.19072e+17	6.96123e+17	7.58349e+17	3.34159e+17	8.19394e+15	5.62142e+15	5.13721e+15	2.24805e+15	1.42236e+15	2.84474e+15	4.26708e+15	5.68944e+15	7.11181e+15	8.53418e+15	9.95652e+15	1.13789e+16	1.27951e+16	2.32496e+16	3.08738e+17	4.32588e+17	4.68998	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68987	4.68986	4.68986	4.68986	4.68986	
1004.55	6.86541e+17	2.79491e+17	1.22306e+17	7.7384e+16	1.54768e+17	2.32152e+17	3.09536e+17	3.8692e+17	4.64304e+17	5.41688e+17	6.19072e+17	6.96126e+17	7.58376e+17	3.34149e+17	8.19394e+15	5.62405e+15	5.13729e+15	2.24808e+15	1.42238e+15	2.84478e+15	4.26714e+15	5.68953e+15	7.11191e+15	8.53431e+15	9.95667e+15	1.13791e+16	1.27953e+16	2.32504e+16	3.08729e+17	4.32588e+17	4.69027	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68988	4.68987	4.68986	4.68986	4.68986	
1255	6.86532e+17	2.7949e+17	1.22306e+17	7.73839e+16	1.54768e+17	2.32152e+17	3.09535e+17	3.86919e+17	4.64303e+17	5.41687e+17	6.19071e+17	6.96127e+17	7.58394e+17	3.34141e+17	8.19394e+15	5.62945e+15	5.13748e+15	2.24816e+15	1.42243e+15	2.84488e+15	4.2673e+15	5.68973e+15	7.11217e+15	8.53461e+15	9.95703e+15	1.13795e+16	1.27958e+16	2.3251e+16	3.08722e+17	4.32588e+17	4.69088	4.6899	4.6899	4.6899	4.6899	4.6899	4.6899	4.6899	4.6899	4.6899	4.6899	4.68987	4.68986	4.68986	4.68986	
1505.6	6.86518e+17	2.7949e+17	1.22306e+17	7.73837e+16	1.54767e+17	2.32151e+17	3.09535e+17	3.86918e+17	4.64302e+17	5.41686e+17	6.19069e+17	6.96127e+17	7.58408e+17	3.34135e+17	8.19394e+15	5.63858e+15	5.13784e+15	2.24832e+15	1.42253e+15	2.84508e+15	4.2676e+15	5.69014e+15	7.11267e+15	8.53522e+15	9.95774e+15	1.13803e+16	1.27966e+16	2.32514e+16	3.08716e+17	4.32588e+17	4.69196	4.68995	4.68995	4.68995	4.68995	4.68995	4.68995	4.68995	4.68995	4.68995	4.68995	4.68988	4.68986	4.68986	4.68986	
1756.56	6.86497e+17	2.79489e+17	1.22305e+17	7.73834e+16	1.54767e+17	2.3215e+17	3.09534e+17	3.86917e+17	4.643e+17	5.41684e+17	6.19067e+17	6.96126e+17	7.58419e+17	3.34131e+17	8.19394e+15	5.65215e+15	5.13846e+15	2.2486e+15	1.42271e+15	2.84543e+15	4.26812e+15	5.69083e+15	7.11354e+15	8.53626e+15	9.95895e+15	1.13817e+16	1.27981e+16	2.32517e+16	3.08712e+17	4.32588e+17	4.69359	4.69003	4.69003	4.69003	4.69003	4.69003	4.69003	4.69003	4.69003	4.69003	4.69003	4.68989	4.68986	4.68986	4.68986	
2007.1	6.86468e+17	2.79487e+17	1.22304e+17	7.7383e+16	1.54766e+17	2.32149e+17	3.09532e+17	3.86915e+17	4.64298e+17	5.41681e+17	6.19063e+17	6.96123e+17	7.58428e+17	3.34128e+17	8.19394e+15	5.67041e+15	5.13944e+15	2.24902e+15	1.42298e+15	2.84597e+15	4.26893e+15	5.69191e+15	7.11489e+15	8.53788e+15	9.96084e+15	1.13839e+16	1.28005e+16	2.3252e+16	3.08709e+17	4.32588e+17	4.69582	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.69016	4.68991	4.68986	4.68986	4.68986	
2258.13	6.86431e+17	2.79485e+17	1.22303e+17	7.73823e+16	1.54765e+17	2.32147e+17	3.09529e+17	3.86912e+17	4.64294e+17	5.41676e+17	6.19058e+17	6.96118e+17	7.58437e+17	3.34125e+17	8.19394e+15	5.6934e+15	5.14087e+15	2.24965e+15	1.42337e+15	2.84676e+15	4.27012e+15	5.69349e+15	7.11686e+15	8.54025e+15	9.96361e+15	1.13871e+16	1.28041e+16	2.32523e+16	3.08707e+17	4.32588e+17	4.69867	4.69035	4.69035	4.69035	4.69035	4.69035	4.69035	4.69035	4.69035	4.69035	4.69035	4.68994	4.68986	4.68986	4.68986	
